commit_hash,purity_classification,llm_classification,purity_normalized,agreement,repository,project_name
0040fea3797ea3e497691e9d1e2660711c60ac4d,FALSE,FLOSS,FLOSS,True,https://github.com/apache/poi,poi
00436c08bfe682b727c77c1d734c3c73a78a9590,TRUE,PURE,PURE,True,https://github.com/unclebob/fitnesse,fitnesse
0051a7f17bd2027575c13dac3ace653ecb2513eb,FALSE,PURE,FLOSS,False,https://github.com/ervandew/eclim,eclim
0063c1adcf32a04611f9bdfb94c893c7a2222b5f,FALSE,FLOSS,FLOSS,True,unknown,unknown
0065d40a4ee9d8c499699cf6696f1a2ac7a393f4,FALSE,FLOSS,FLOSS,True,unknown,unknown
006be00803a23b274c9ec073d1352e93c38bd33b,FALSE,FLOSS,FLOSS,True,unknown,unknown
007a13d0e9bc1d45cb9cad4559a919c60483c5d1,NONE,FLOSS,UNKNOWN,False,unknown,unknown
0087a5b5ed488b892a218aacc94210fc7e7297a3,NONE,FLOSS,UNKNOWN,False,unknown,unknown
008bf8607c55926d0aadb4602a8a854d396c7657,FALSE,PURE,FLOSS,False,unknown,unknown
00988e2da64dbc61319023ecc3c61fb09d4223bb,NONE,FLOSS,UNKNOWN,False,https://github.com/alibaba/dubbo,dubbo
009e17f47fa3e79e2ee03d1ad952571fd29693d3,NONE,FLOSS,UNKNOWN,False,https://github.com/alibaba/dubbo,dubbo
00b15a44c61f88da69670b6f2f1357736eb8776e,TRUE,FLOSS,PURE,False,unknown,unknown
00b4289c839804ac32d49d9b91a99490247da3cb,FALSE,FLOSS,FLOSS,True,unknown,unknown
00b8c1a39d75c1b4626dc987bd1a51cfaf7c9be1,NONE,FLOSS,UNKNOWN,False,unknown,unknown
00bc7fcd0df7f13cfa0df8985889240dfd3728fe,NONE,FLOSS,UNKNOWN,False,https://github.com/apache/pdfbox,pdfbox
00d8ef6e2d2723ce5988d62435df1fd914b433a1,NONE,FLOSS,UNKNOWN,False,https://github.com/apache/poi,poi
0106db25694a7604c6a36c6fe4e4ef282059d75e,NONE,PURE,UNKNOWN,False,unknown,unknown
010e4ac16664f5cee57402269c28d7b764580d60,NONE,FLOSS,UNKNOWN,False,https://github.com/BaseXdb/basex,basex
0118f33f46462efb02a3439c9d189714f8345449,FALSE,FLOSS,FLOSS,True,https://github.com/Netflix/ribbon,ribbon
01263733de032973fbb79cb340a19d62eff5b110,FALSE,FLOSS,FLOSS,True,unknown,unknown
014a1c7899502ec6a515acde4d285505b0c70788,TRUE,FLOSS,PURE,False,unknown,unknown
01a11fd2626d57bf0c8d0bce1e43060017592896,TRUE,FLOSS,PURE,False,,
01cb9121acf296c6205a88106c2f3495602d4e6e,TRUE,FLOSS,PURE,False,,
020bde0d66344623150ef57562523f514d011f70,TRUE,FLOSS,PURE,False,,
02243165f1d9bb47c428921d99bcf16e8a944cfe,TRUE,FLOSS,PURE,False,,
